date,exchange_rate
2020-01-02,6944.33
2020-01-05,7351.57
2020-01-08,8042.65
2020-01-11,8021.49
2020-01-14,8842.42
2020-01-17,8900.34
2020-01-20,8626.47
2020-01-23,8388.11
2020-01-26,8588.42
2020-01-29,9279.81
2020-02-01,9378.09
2020-02-04,9162.14
2020-02-07,9807.54
2020-02-10,9854.79
2020-02-13,10242.43
2020-02-16,9937.67
2020-02-19,9604.72
2020-02-22,9669.63
2020-02-25,9309.15
2020-02-28,8712.35
2020-03-02,8912.82
2020-03-05,9067.39
2020-03-08,8039.38
2020-03-11,7936.65
2020-03-14,5166.26
2020-03-17,5357.61
2020-03-20,6226.44
2020-03-23,6502.16
2020-03-26,6763.75
2020-03-30,5885.41
2020-04-02,6652.87
2020-04-05,6871.69
2020-04-08,7205.55
2020-04-11,6873.24
2020-04-14,6857.66
2020-04-17,7112.27
2020-04-20,7130.04
2020-04-23,7130.99
2020-04-26,7549.52
2020-04-29,7765.33
2020-05-02,8824.66
2020-05-05,8885.93
2020-05-08,10002.48
2020-05-11,8754.46
2020-05-14,9305.93
2020-05-17,9385.7
2020-05-20,9785.74
2020-05-23,9167.26
2020-05-26,8899.66
2020-05-29,9569.21
2020-06-01,9450.84
2020-06-04,9658.04
2020-06-07,9670.43
2020-06-10,9775.15
2020-06-13,9459.97
2020-06-16,9426.7
2020-06-19,9380.03
2020-06-22,9284.78
2020-06-25,9276.58
2020-06-28,9004.23
2020-07-01,9133.97
2020-07-04,9072.42
2020-07-07,9348.91
2020-07-10,9238.04
2020-07-13,9295.9
2020-07-16,9193.51
2020-07-19,9174.71
2020-07-22,9392.66
2020-07-25,9551.28
2020-07-28,11042.4
2020-07-31,11114.93
2020-08-03,11077.77
2020-08-06,11750.28
2020-08-09,11767.6
2020-08-12,11392.43
2020-08-15,11774.38
2020-08-18,12293.72
2020-08-21,11865.82
2020-08-24,11653.02
2020-08-27,11467.37
2020-08-30,11481.64
2020-09-02,11923.25
2020-09-05,10467.89
2020-09-08,10367.74
2020-09-11,10352.66
2020-09-14,10330.77
2020-09-17,10948.43
2020-09-20,11081.43
2020-09-23,10532.22
2020-09-26,10692.84
2020-09-29,10692.33
2020-10-02,10619.24
2020-10-05,10673.46
2020-10-08,10670.8
2020-10-11,11302.67
2020-10-14,11428.24
2020-10-17,11327.57
2020-10-20,11758.16
2020-10-23,12990.25
2020-10-25,13036.77
2020-10-28,13289
2020-10-31,13810.32
2020-11-03,14023.31
2020-11-06,15595.77
2020-11-09,15328.53
2020-11-12,16295.57
2020-11-15,15968.16
2020-11-18,17798.45
2020-11-21,18699.75
2020-11-24,19172.52
2020-11-27,17138.87
2020-11-30,19709.73
2020-12-03,19454.54
2020-12-06,19377.66
2020-12-09,18554.15
2020-12-12,18803.44
2020-12-15,19439.75
2020-12-18,23150.79
2020-12-21,22745.48
2020-12-24,23715.53
2020-12-27,26246.58
2020-12-30,28856.59
2021-01-02,32195.46
2021-01-05,34046.67
2021-01-08,40670.25
2021-01-11,35544.94
2021-01-14,39158.47
2021-01-17,35793.01
2021-01-20,35538.98
2021-01-23,32099.74
2021-01-26,32541.8
2021-01-29,34314.26
2021-02-01,33522.9
2021-02-04,37002.09
2021-02-07,38928.1
2021-02-10,44878.17
2021-02-13,47185.19
2021-02-16,49160.1
2021-02-19,55916.5
2021-02-22,54123.4
2021-02-25,46800.42
2021-02-28,45113.92
2021-03-03,50477.7
2021-03-06,48881.59
2021-03-09,54881.52
2021-03-12,57253.28
2021-03-15,55754.72
2021-03-18,57665.9
2021-03-21,57411.17
2021-03-24,52508.23
2021-03-27,55863.93
2021-03-31,58730.13
2021-04-03,59031.32
2021-04-06,59054.1
2021-04-09,58048.59
2021-04-12,59964.87
2021-04-15,62969.12
2021-04-18,60087.09
2021-04-21,56507.91
2021-04-24,51153.13
2021-04-27,54056.64
2021-04-30,53584.15
2021-05-03,56610.46
2021-05-06,57473.23
2021-05-09,58928.81
2021-05-12,56750
2021-05-15,49922.52
2021-05-18,43596.24
2021-05-21,40784.32
2021-05-24,34754.54
2021-05-27,39266.04
2021-05-30,34647.67
2021-06-02,36662.64
2021-06-05,36885.51
2021-06-08,33514.87
2021-06-11,36704.57
2021-06-14,39066.82
2021-06-17,38324.87
2021-06-20,35524.17
2021-06-23,32447.59
2021-06-26,31640.58
2021-06-29,34456.67
2021-07-02,33536.88
2021-07-05,35309.3
2021-07-08,33839.04
2021-07-11,33515.57
2021-07-14,32686.56
2021-07-17,31421.25
2021-07-20,30815.94
2021-07-23,32297.89
2021-07-26,35365.2
2021-07-29,40002.53
2021-08-01,41659.06
2021-08-04,38138
2021-08-07,42825.95
2021-08-10,46333.46
2021-08-13,44417.78
2021-08-16,47056.41
2021-08-19,44777.86
2021-08-22,48932.02
2021-08-25,47744.58
2021-08-28,49056.86
2021-08-31,47074.77
2021-09-03,49329.01
2021-09-06,51769.06
2021-09-09,46078.38
2021-09-12,45144.79
2021-09-15,47072.12
2021-09-18,47263.6
2021-09-21,42901.56
2021-09-24,44888.96
2021-09-27,43182.63
2021-09-30,41522.38
2021-10-03,47727.1
2021-10-06,51505.83
2021-10-09,53867.3
2021-10-12,57452.01
2021-10-15,57397.74
2021-10-18,61546.21
2021-10-21,66063.56
2021-10-24,61277.28
2021-10-27,60345.17
2021-10-30,62249.18
2021-11-01,61029.5
2021-11-04,61441.83
2021-11-07,63293.22
2021-11-10,64976.73
2021-11-13,64420.94
2021-11-16,60172.26
2021-11-19,58133.02
2021-11-22,56301.52
2021-11-25,58935.45
2021-11-28,57292.28
2021-12-01,57229.76
2021-12-04,49253.86
2021-12-07,50645.41
2021-12-10,47137.46
2021-12-13,46757.09
2021-12-16,47658.38
2021-12-19,46689.28
2021-12-22,48628.35
2021-12-25,50470.89
2021-12-28,47601.26
2021-12-31,46249.56
2022-01-03,46441.99
2022-01-06,43120.63
2022-01-09,41864.44
2022-01-12,43926
2022-01-15,43146.53
2022-01-18,42381.48
2022-01-21,36480.85
2022-01-24,36678.82
2022-01-27,37146.85
2022-01-30,37918.62
2022-02-02,36912.68
2022-02-05,41435.43
2022-02-08,44133.28
2022-02-11,42401.27
2022-02-14,42580.94
2022-02-17,40565.69
2022-02-20,38382.32
2022-02-23,37291.48
2022-02-26,39103.91
2022-03-01,44418.83
2022-03-04,39141.25
2022-03-07,38032.5
2022-03-10,39437.89
2022-03-13,37820.39
2022-03-16,41133.08
2022-03-19,42222.32
2022-03-22,42372.67
2022-03-25,44334.33
2022-03-29,47115.93
